Name,Score,Genders,Type,Source,Popularity,Favorites
Jikuu Bouken Nuumamonjaa,5.28,"Action, Comedy, Fantasy",OVA,Game,5924,7
Di Gi Charat: Hoshi no Tabi,6.58,Comedy,Movie,Unknown,7978,3
Di Gi Charat: Kuchi Kara Bazooka,6.26,Comedy,Special,Unknown,9148,1
Di Gi Charat Summer Special 2000,6.47,Comedy,Special,Unknown,8281,1
Di Gi Charat Ohanami Special,6.65,Comedy,Special,Unknown,8492,1
Di Gi Charat Natsuyasumi Special,6.59,Comedy,Special,Unknown,8477,2
Di Gi Charat Christmas Special,6.57,Comedy,Special,Unknown,7958,3
Di Gi Charat Tsuyu Specials,6.48,Comedy,Special,Unknown,9424,1
Jigen Sengokushi: Kuro no Shishi - Jinnai-hen,5.62,"Action, Adventure, Historical, Sci-Fi, Shounen",OVA,Unknown,7613,3
Golgo 13,6.78,"Action, Military, Adventure, Drama, Seinen",Movie,Manga,4407,43
Golgo 13: Queen Bee,6.59,"Action, Adventure, Military, Drama, Seinen",OVA,Manga,5376,8
Arslan Senki,6.92,"Action, Adventure, Drama, Fantasy, Historical",OVA,Light novel,3808,83
Midnight Panther,5.79,"Action, Adventure, Fantasy, Hentai",OVA,Manga,8803,6
Slam Dunk (Movie),7.36,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Movie,Manga,4249,33
Vampire Sensou,4.69,"Super Power, Supernatural, Vampire",OVA,Novel,7490,6
Youseiki Suikoden,5.75,"Action, Martial Arts, Fantasy",OVA,Light novel,8482,1
Psycho Diver: Mashou Bosatsu,5.69,"Horror, Psychological, Sci-Fi",OVA,Unknown,7063,6
Kikaider 01 The Animation,6.78,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,Other,8311,6
Oh! Super Milk-chan,5.99,"Action, Parody, Comedy, Sci-Fi",TV,Original,6800,18
Unbalance,5.78,Hentai,OVA,Visual novel,8615,1
Ring ni Kakero 1: Nichibei Kessen-hen,6.5,"Action, Sports, Shounen",TV,Manga,9154,14
Seishoujo Kantai Virgin Fleet,5.23,"Fantasy, Military, School, Sci-Fi",OVA,Unknown,9294,1
Hokuto no Ken: Raoh Gaiden Junai-hen,7.47,"Action, Adventure, Martial Arts",Movie,Unknown,5057,19
HeatGuy J Special,7.04,"Action, Adventure, Mecha, Police, Sci-Fi",Special,Original,8536,1
Jikuu Tenshou Nazca,5.65,"Action, Adventure, Drama, Magic, Fantasy",TV,Manga,6289,6
Bulg-eunmae,5.57,"Super Power, Martial Arts",Movie,Unknown,10475,1
Kaze no Tairiku,6.21,"Action, Adventure, Fantasy, Supernatural",Movie,Light novel,6680,6
Dae Jang Geum: Jang Geum's Dream,7.22,"Adventure, Comedy, Historical",TV,Other,7923,27
Bakunyuu Shimai,6.25,Hentai,OVA,Original,7214,16
Choukou Tenshi Escalayer,6.54,"Demons, Hentai, Sci-Fi, Super Power",OVA,Visual novel,4990,45
Hi.Me.Go.To,6.28,Hentai,OVA,Original,7132,14
Hyakki,5.6,"Hentai, Horror",OVA,Visual novel,8457,6
Imouto Jiru,6.42,Hentai,OVA,Visual novel,5095,54
Injuu Nerawareta Hanayome,5.46,Hentai,OVA,Unknown,9594,5
Little Monica Monogatari,6.46,Hentai,OVA,Unknown,5314,42
Sprite: Between Two Worlds,5.79,"Comedy, Ecchi, Romance, School",OVA,Unknown,9123,0
Viper GTS,7,"Demons, Hentai",OVA,Visual novel,4620,123
Yuuguu Settai: Kotou no Gokuraku e Youkoso,5.65,Hentai,OVA,Visual novel,7367,8
Argento Soma Special,6.4,"Action, Mecha, Sci-Fi",Special,Original,7549,1
Tactical Roar Special,5.87,"Action, Comedy, Ecchi, Military, Romance, Sci-Fi",Special,Unknown,9319,1
Ai Doll,5.71,"Hentai, Drama",OVA,Visual novel,7614,11
Overman King Gainer,6.89,"Action, Adventure, Mecha, Sci-Fi, Shounen",TV,Original,4862,29
Kaze no Na wa Amnesia,6.39,"Action, Dementia, Drama, Sci-Fi",Movie,Light novel,4226,39
Dirty Pair no Ooshoubu: Nolandia no Nazo,6.4,"Action, Sci-Fi, Adventure, Comedy, Police",OVA,Light novel,7295,2
Dirty Pair: Bouryaku no 005-bin,6.79,"Action, Sci-Fi, Adventure, Comedy, Police",OVA,Light novel,7479,4
Dirty Pair: The Movie,7.08,"Action, Sci-Fi, Adventure, Comedy, Police",Movie,Light novel,5723,30
Animation Seisaku Shinkou Kuromi-chan,6.92,"Comedy, Parody, Drama",OVA,Unknown,5272,6
Animation Seisaku Shinkou Kuromi-chan 2,6.94,"Comedy, Parody, Drama",OVA,Unknown,6386,3
Fatal Fury: Legend of the Hungry Wolf,6.45,"Action, Adventure, Drama, Martial Arts, Romance, Shounen",OVA,Game,5262,18
Fatal Fury 2: The New Battle,6.74,"Action, Adventure, Drama, Martial Arts, Shounen",OVA,Game,5470,25
Dirty Pair Flash,6.67,"Action, Adventure, Police, Comedy, Sci-Fi",OVA,Light novel,5608,22
Dirty Pair: Lovely Angels yori Ai wo Komete,7.03,"Action, Adventure, Comedy, Police, Sci-Fi",OVA,Light novel,7032,3
Koko wa Green Wood,6.83,"Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural",OVA,Manga,5489,26
Master Mosquiton,6.69,"Action, Adventure, Comedy, Demons, Supernatural, Vampire",OVA,Manga,6639,14
Master Mosquiton '99,6.52,"Action, Adventure, Comedy, Supernatural, Vampire",TV,Manga,7453,5
Prism Ark,6.45,"Action, Fantasy, Magic, Comedy, Drama",TV,Visual novel,3591,34
Kamichama Karin,7.28,"Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,Manga,2420,480
Kyoushirou to Towa no Sora,6.48,"Drama, Magic, Romance, Shounen",TV,Manga,2614,105
Bounty Dog: Getsumen no Ibu,5.56,"Action, Sci-Fi, Space",OVA,Original,7822,3
Hanoka,3.67,Sci-Fi,TV,Original,7495,19
Genshiken OVA,7.66,"Parody, Slice of Life, Comedy",OVA,Manga,2386,33
